district,datetime,temperature_c,wind_speed_ms,humidity,barometric_pressure,visibility_km,weather,risk_score,risk_level,primary_risk_factor,all_risk_factors,district_category,category_multiplier,infrastructure_feeders,infrastructure_substations,at_risk_assets,emergency_contact,operational_recommendations
ballari,2025-08-24 08:30:00,26.0,3.0,0.75,1.01,10.0,Partly sunny.,3.92,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,5,+91-877-820-3528,Continue normal monitoring
ballari,2025-08-24 11:30:00,31.0,4.0,0.53,1.009,10.0,Partly sunny.,3.18,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-888-595-6464,Continue normal monitoring
ballari,2025-08-24 14:30:00,32.0,5.0,0.46,1.006,10.0,Partly sunny.,3.34,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-834-952-5885,Continue normal monitoring
ballari,2025-08-24 17:30:00,33.0,4.0,0.55,1.005,10.0,Overcast.,3.22,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-963-580-7889,Continue normal monitoring
ballari,2025-08-24 20:30:00,29.0,3.0,0.6,1.008,4.0,Passing clouds.,3.26,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-836-639-3014,Continue normal monitoring
ballari,2025-08-24 23:30:00,27.0,2.0,0.66,1.01,4.0,Passing clouds.,3.41,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-911-711-3654,Continue normal monitoring
ballari,2025-08-25 02:30:00,26.0,2.0,0.74,1.009,4.0,Passing clouds.,3.79,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,5,+91-874-424-4095,Continue normal monitoring
ballari,2025-08-25 05:30:00,24.0,3.0,0.83,1.009,4.0,Passing clouds.,4.38,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-822-459-9635,Continue normal monitoring
ballari,2025-08-25 08:30:00,27.0,4.0,0.68,1.01,10.0,Scattered clouds.,3.69,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,5,+91-826-361-1118,Continue normal monitoring
ballari,2025-08-25 11:30:00,31.0,4.0,0.54,1.008,10.0,Partly sunny.,3.2,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-975-823-8420,Continue normal monitoring
ballari,2025-08-25 14:30:00,33.0,3.0,0.44,1.005,10.0,Overcast.,3.14,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,6,+91-936-338-1408,Continue normal monitoring
ballari,2025-08-25 17:30:00,32.0,2.0,0.5,1.004,10.0,Overcast.,2.95,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-963-519-3214,Continue normal monitoring
ballari,2025-08-25 20:30:00,29.0,2.0,0.62,1.006,4.0,Passing clouds.,3.25,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-911-742-4379,Continue normal monitoring
ballari,2025-08-25 23:30:00,27.0,3.0,0.69,1.007,4.0,Passing clouds.,3.62,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-847-556-4813,Continue normal monitoring
ballari,2025-08-26 02:30:00,25.0,2.0,0.77,1.007,4.0,Passing clouds.,3.95,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-800-992-7473,Continue normal monitoring
ballari,2025-08-26 05:30:00,23.0,2.0,0.86,1.008,10.0,Passing clouds.,4.49,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-804-373-8014,Continue normal monitoring
ballari,2025-08-26 08:30:00,26.0,2.0,0.73,1.009,10.0,Partly sunny.,3.74,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,6,+91-943-390-5439,Continue normal monitoring
ballari,2025-08-26 11:30:00,32.0,2.0,0.51,1.008,10.0,Partly sunny.,2.96,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-846-466-6951,Continue normal monitoring
ballari,2025-08-26 14:30:00,34.0,6.0,0.44,1.004,10.0,Partly sunny.,3.56,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-983-751-1468,Continue normal monitoring
ballari,2025-08-26 17:30:00,32.0,4.0,0.53,1.004,10.0,Partly sunny.,3.18,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,6,+91-907-920-5041,Continue normal monitoring
ballari,2025-08-26 20:30:00,28.0,2.0,0.65,1.007,4.0,Passing clouds.,3.37,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-922-943-5335,Continue normal monitoring
ballari,2025-08-26 23:30:00,26.0,5.0,0.71,1.007,4.0,Passing clouds.,3.97,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-852-401-3612,Continue normal monitoring
ballari,2025-08-27 02:30:00,25.0,2.0,0.79,1.007,4.0,Passing clouds.,4.07,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-949-102-7276,Continue normal monitoring
ballari,2025-08-27 05:30:00,23.0,2.0,0.87,1.006,4.0,Passing clouds.,4.56,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-836-122-9951,Continue normal monitoring
ballari,2025-08-27 08:30:00,26.0,5.0,0.76,1.007,10.0,Overcast.,4.23,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-961-667-2577,Continue normal monitoring
ballari,2025-08-27 11:30:00,28.0,3.0,0.67,1.007,10.0,Overcast.,3.53,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-803-355-5578,Continue normal monitoring
ballari,2025-08-27 14:30:00,30.0,2.0,0.62,1.004,10.0,Drizzle. Overcast.,3.25,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-963-943-7453,Continue normal monitoring
ballari,2025-08-27 17:30:00,29.0,3.0,0.76,1.003,10.0,Overcast.,3.98,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-982-804-7355,Continue normal monitoring
ballari,2025-08-27 20:30:00,26.0,3.0,0.79,1.006,4.0,Passing clouds.,4.14,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,6,+91-973-534-9210,Continue normal monitoring
ballari,2025-08-27 23:30:00,25.0,3.0,0.79,1.007,4.0,Overcast.,4.14,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-994-236-1421,Continue normal monitoring
ballari,2025-08-28 02:30:00,24.0,2.0,0.83,1.004,4.0,Passing clouds.,4.3,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-879-336-5229,Continue normal monitoring
ballari,2025-08-28 05:30:00,24.0,3.0,0.83,1.005,4.0,Overcast.,4.38,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-991-999-2835,Continue normal monitoring
ballari,2025-08-28 08:30:00,25.0,3.0,0.8,1.007,10.0,Overcast.,4.2,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,5,+91-924-127-7031,Continue normal monitoring
ballari,2025-08-28 11:30:00,30.0,4.0,0.59,1.004,10.0,Overcast.,3.33,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-976-654-9279,Continue normal monitoring
ballari,2025-08-28 14:30:00,30.0,2.0,0.7,1.002,10.0,Overcast.,3.59,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-804-906-4742,Continue normal monitoring
ballari,2025-08-28 17:30:00,27.0,2.0,0.72,1.002,10.0,Overcast.,3.69,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-927-921-5935,Continue normal monitoring
ballari,2025-08-28 20:30:00,27.0,2.0,0.75,1.005,4.0,Passing clouds.,3.84,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,6,+91-922-495-5686,Continue normal monitoring
ballari,2025-08-28 23:30:00,26.0,2.0,0.79,1.006,4.0,Passing clouds.,4.07,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,5,+91-834-737-2192,Continue normal monitoring
ballari,2025-08-29 02:30:00,25.0,3.0,0.8,1.005,4.0,Passing clouds.,4.2,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-909-178-8780,Continue normal monitoring
ballari,2025-08-29 05:30:00,24.0,2.0,0.85,1.005,4.0,Passing clouds.,4.43,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-876-681-6719,Continue normal monitoring
ballari,2025-08-29 08:30:00,26.0,2.0,0.76,1.007,10.0,Overcast.,3.9,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-856-432-9769,Continue normal monitoring
ballari,2025-08-29 11:30:00,31.0,3.0,0.55,1.005,10.0,Partly sunny.,3.11,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-881-873-5144,Continue normal monitoring
ballari,2025-08-29 14:30:00,34.0,5.0,0.46,1.002,10.0,Partly sunny.,3.34,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-909-264-7287,Continue normal monitoring
ballari,2025-08-29 17:30:00,31.0,5.0,0.48,1.003,10.0,Overcast.,3.3,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-807-136-9880,Continue normal monitoring
ballari,2025-08-29 20:30:00,29.0,2.0,0.61,1.006,4.0,Overcast.,3.21,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-897-187-8819,Continue normal monitoring
ballari,2025-08-29 23:30:00,27.0,3.0,0.69,1.008,4.0,Overcast.,3.62,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-949-765-7361,Continue normal monitoring
ballari,2025-08-30 02:30:00,26.0,3.0,0.78,1.007,4.0,Passing clouds.,4.09,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-873-812-1188,Continue normal monitoring
ballari,2025-08-30 05:30:00,24.0,3.0,0.87,1.007,4.0,Passing clouds.,4.64,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-810-199-9855,Continue normal monitoring
ballari,2025-08-30 08:30:00,28.0,3.0,0.7,1.008,10.0,Partly sunny.,3.67,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-862-986-3713,Continue normal monitoring
ballari,2025-08-30 11:30:00,32.0,3.0,0.52,1.007,10.0,Partly sunny.,3.05,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,6,+91-994-926-5524,Continue normal monitoring
ballari,2025-08-30 14:30:00,32.0,5.0,0.55,1.005,10.0,Overcast.,3.36,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-990-392-2676,Continue normal monitoring
ballari,2025-08-30 17:30:00,31.0,5.0,0.57,1.005,10.0,Overcast.,3.42,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-893-647-3098,Continue normal monitoring
ballari,2025-08-30 20:30:00,28.0,2.0,0.69,1.008,4.0,Passing clouds.,3.54,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-938-298-8884,Continue normal monitoring
ballari,2025-08-30 23:30:00,27.0,2.0,0.7,1.009,4.0,Overcast.,3.59,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-995-773-8848,Continue normal monitoring
ballari,2025-08-31 02:30:00,25.0,3.0,0.77,1.007,4.0,Passing clouds.,4.03,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,5,+91-866-114-6393,Continue normal monitoring
ballari,2025-08-31 05:30:00,25.0,3.0,0.8,1.008,4.0,Overcast.,4.2,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,6,+91-806-506-6155,Continue normal monitoring
ballari,2025-08-31 08:30:00,27.0,3.0,0.68,1.009,10.0,Partly sunny.,3.58,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-927-598-1737,Continue normal monitoring
ballari,2025-08-31 11:30:00,31.0,4.0,0.57,1.007,10.0,Overcast.,3.27,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,5,+91-968-640-5458,Continue normal monitoring
ballari,2025-08-31 14:30:00,32.0,5.0,0.49,1.005,10.0,Overcast.,3.29,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-863-624-2201,Continue normal monitoring
ballari,2025-08-31 17:30:00,32.0,3.0,0.53,1.003,10.0,Overcast.,3.07,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,6,+91-950-363-6910,Continue normal monitoring
ballari,2025-08-31 20:30:00,24.0,1.0,0.95,1.007,4.0,Overcast.,5.06,High,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-888-861-8745,Deploy emergency crews • Pre-position equipment
ballari,2025-08-31 23:30:00,25.0,2.0,0.95,1.008,4.0,Overcast.,5.1,High,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,6,+91-990-729-5138,Deploy emergency crews • Pre-position equipment
ballari,2025-09-01 02:30:00,25.0,3.0,0.95,1.006,4.0,Overcast.,5.18,High,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-815-834-4504,Deploy emergency crews • Pre-position equipment
ballari,2025-09-01 05:30:00,24.0,3.0,0.87,1.006,4.0,Passing clouds.,4.64,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-879-722-9598,Continue normal monitoring
ballari,2025-09-01 08:30:00,26.0,3.0,0.81,1.007,10.0,Overcast.,4.26,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-854-834-3304,Continue normal monitoring
ballari,2025-09-01 11:30:00,29.0,5.0,0.66,1.006,10.0,Overcast.,3.74,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-931-988-5259,Continue normal monitoring
ballari,2025-09-01 14:30:00,30.0,5.0,0.6,1.003,10.0,Overcast.,3.51,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-955-209-4069,Continue normal monitoring
ballari,2025-09-01 17:30:00,30.0,2.0,0.65,1.003,10.0,Overcast.,3.37,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-911-952-1684,Continue normal monitoring
ballari,2025-09-01 20:30:00,26.0,1.0,0.84,1.006,4.0,Drizzle. Overcast.,4.32,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-947-875-5532,Continue normal monitoring
ballari,2025-09-01 23:30:00,26.0,3.0,0.79,1.007,4.0,Passing clouds.,4.14,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-941-715-7786,Continue normal monitoring
ballari,2025-09-02 02:30:00,24.0,3.0,0.83,1.005,4.0,Passing clouds.,4.38,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-811-952-8564,Continue normal monitoring
ballari,2025-09-02 05:30:00,24.0,4.0,0.8,1.005,4.0,Passing clouds.,4.31,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-870-581-9360,Continue normal monitoring
ballari,2025-09-02 08:30:00,27.0,2.0,0.72,1.006,10.0,Partly sunny.,3.69,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,6,+91-921-861-7118,Continue normal monitoring
ballari,2025-09-02 11:30:00,30.0,5.0,0.59,1.006,10.0,Overcast.,3.48,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-848-202-7853,Continue normal monitoring
ballari,2025-09-02 14:30:00,30.0,3.0,0.65,1.003,10.0,Overcast.,3.45,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,5,+91-861-452-7394,Continue normal monitoring
ballari,2025-09-02 17:30:00,26.0,2.0,0.9,1.004,10.0,Overcast.,4.76,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,5,+91-921-481-3594,Continue normal monitoring
ballari,2025-09-02 20:30:00,24.0,3.0,0.91,1.006,4.0,Overcast.,4.9,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-961-298-4304,Continue normal monitoring
ballari,2025-09-02 23:30:00,25.0,2.0,0.87,1.007,4.0,Overcast.,4.56,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-986-436-4817,Continue normal monitoring
ballari,2025-09-03 02:30:00,24.0,3.0,0.88,1.004,4.0,Overcast.,4.7,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,6,+91-857-494-8519,Continue normal monitoring
ballari,2025-09-03 05:30:00,24.0,3.0,0.9,1.005,4.0,Overcast.,4.83,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-812-590-4258,Continue normal monitoring
ballari,2025-09-03 08:30:00,25.0,3.0,0.84,1.007,10.0,Overcast.,4.44,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-877-458-8692,Continue normal monitoring
ballari,2025-09-03 11:30:00,29.0,4.0,0.74,1.006,10.0,Overcast.,3.98,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-918-183-5237,Continue normal monitoring
ballari,2025-09-03 14:30:00,32.0,3.0,0.55,1.003,10.0,Partly sunny.,3.11,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-924-658-9717,Continue normal monitoring
ballari,2025-09-03 17:30:00,32.0,3.0,0.52,1.002,10.0,Partly sunny.,3.05,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-947-434-3229,Continue normal monitoring
ballari,2025-09-03 20:30:00,29.0,3.0,0.65,1.005,4.0,Overcast.,3.45,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-842-280-3878,Continue normal monitoring
ballari,2025-09-03 23:30:00,26.0,2.0,0.76,1.006,4.0,Passing clouds.,3.9,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-892-748-8420,Continue normal monitoring
ballari,2025-09-04 02:30:00,24.0,4.0,0.87,1.006,4.0,Overcast.,4.75,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,6,+91-989-106-8340,Continue normal monitoring
ballari,2025-09-04 05:30:00,24.0,3.0,0.86,1.006,4.0,Passing clouds.,4.57,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-842-195-2801,Continue normal monitoring
ballari,2025-09-04 08:30:00,26.0,4.0,0.78,1.008,10.0,Partly sunny.,4.2,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-914-466-5189,Continue normal monitoring
ballari,2025-09-04 11:30:00,31.0,3.0,0.61,1.007,10.0,Overcast.,3.29,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-989-846-4007,Continue normal monitoring
ballari,2025-09-04 14:30:00,33.0,3.0,0.47,1.003,10.0,Partly sunny.,3.07,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,5,+91-911-892-2684,Continue normal monitoring
ballari,2025-09-04 17:30:00,32.0,4.0,0.54,1.003,10.0,Partly sunny.,3.2,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-921-897-2914,Continue normal monitoring
ballari,2025-09-04 20:30:00,28.0,3.0,0.67,1.005,4.0,Passing clouds.,3.53,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,7,+91-825-851-5679,Continue normal monitoring
ballari,2025-09-04 23:30:00,26.0,2.0,0.73,1.008,4.0,Passing clouds.,3.74,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,3,+91-904-126-1319,Continue normal monitoring
ballari,2025-09-05 02:30:00,25.0,3.0,0.81,1.007,4.0,Passing clouds.,4.26,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,6,+91-907-629-2336,Continue normal monitoring
ballari,2025-09-05 05:30:00,24.0,3.0,0.81,1.008,4.0,Passing clouds.,4.26,Medium,Humidity Stress,"Humidity Stress, Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-814-611-7049,Continue normal monitoring
ballari,2025-09-05 08:30:00,26.0,3.0,0.79,1.009,10.0,Partly sunny.,4.14,Medium,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,2,+91-931-556-5137,Continue normal monitoring
ballari,2025-09-05 11:30:00,32.0,3.0,0.51,1.008,10.0,Partly sunny.,3.04,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,1,+91-926-398-3415,Continue normal monitoring
ballari,2025-09-05 14:30:00,34.0,2.0,0.43,1.005,10.0,Overcast.,3.09,Low,Heavy Industrial Load,"Heavy Industrial Load, Mining Dust",Industrial/Mining Zone,1.4,38,8,4,+91-875-531-2991,Continue normal monitoring
